cluster,observation_date,number_found,precipitation,humidity,wind_speed,temperature,root_zone_soil_wetness,surface_soil_wetness,soil_moisture
3,2019-08-01,154700.0,0.12230769230769231,68.86538461538461,1.6384615384615384,21.27153846153846,0.5561538461538461,0.5576923076923077,0.5453846153846155
3,2019-08-07,1000000.0,10.24,80.94,1.89,22.64,0.54,0.57,0.53
3,2020-02-23,100000.0,0.0,81.69,5.59,1.77,0.79,0.78,0.75
3,2020-03-09,1024200.0,0.05,81.94,6.12,9.25,0.81,0.84,0.8
3,2020-03-10,136600.0,4.5,88.8775,5.8075,6.422499999999999,0.8150000000000001,0.8450000000000001,0.8000000000000002
3,2020-03-11,1700.0,0.62,81.19,2.39,0.58,0.81,0.84,0.8000000000000002
3,2020-03-12,2200.0,0.21,83.81,2.2,5.63,0.81,0.84,0.8000000000000002
3,2020-04-13,2000.0,11.61,83.31,7.18,10.16,0.77,0.83,0.75
3,2020-04-25,10000.0,0.69,69.0,2.81,7.4,0.73,0.77,0.72
3,2020-09-14,500.0,0.91,67.19,3.05,15.05,0.51,0.49,0.5
4,2019-11-01,14500.0,7.8,68.38,8.84,11.7,0.5,0.61,0.48
4,2019-11-29,1200.0,0.0,75.88,7.05,2.9,0.51,0.57,0.5
4,2019-12-09,23000.0,34.74666666666667,92.93666666666667,8.57,11.36,0.54,0.7633333333333333,0.5466666666666667
4,2019-12-10,121000.0,6.82,94.095,6.04,10.625,0.575,0.7,0.555
4,2020-02-03,2000.0,0.03,85.44,5.32,6.28,0.88,0.9,0.87
4,2020-02-05,1100.0,1.6749999999999998,78.875,3.535,4.405,0.6799999999999999,0.71,0.6799999999999999
4,2020-04-06,1200.0,0.34,75.56,3.06,9.62,0.7,0.71,0.69
4,2020-04-07,21000.0,0.5533333333333333,75.81666666666666,4.37,9.160000000000002,0.7433333333333333,0.7599999999999999,0.7233333333333333
4,2020-04-08,1000000.0,3.18,90.75,3.61,9.42,0.82,0.88,0.81
4,2020-04-15,200.0,1.95,68.25,4.46,6.8,0.65,0.68,0.66
4,2023-03-23,500.0,3.02,96.88,4.59,8.1,0.71,0.73,0.7
5,2009-06-01,1000.0,0.0,68.06,1.52,11.39,0.67,0.72,0.66
5,2011-07-01,100000.0,0.01,77.5,1.2,19.01,0.72,0.74,0.77
5,2011-08-01,500.0,0.2,84.25,1.44,22.5,0.6,0.64,0.64
5,2011-09-01,10000.0,2.16,85.38,1.32,20.64,0.68,0.71,0.71
5,2012-05-01,600.0,6.53,89.94,1.9,10.88,0.68,0.74,0.67
5,2012-07-01,300.0,1.67,82.94,1.47,20.58,0.59,0.64,0.72
5,2015-09-01,1500.0,0.0,62.0,1.06,23.41,0.44,0.41,0.43
5,2016-08-01,300.0,21.82,88.81,1.12,21.0,0.48,0.59,0.47
5,2017-07-01,22100.0,32.43,91.31,1.84,23.33,0.66,0.7600000000000001,0.68
5,2018-07-01,1000.0,0.0,73.19,1.15,28.03,0.53,0.57,0.52
5,2018-08-01,10000.0,25.4,92.44,1.93,22.44,0.56,0.69,0.55
5,2018-10-01,3000.0,4.035,95.065,1.1600000000000001,11.5,0.5549999999999999,0.605,0.575
5,2019-07-01,26500.0,0.05777777777777778,80.5788888888889,1.482222222222222,20.06555555555555,0.6988888888888888,0.7188888888888889,0.7477777777777779
