observation_date,number_found,running_total
2019-08-01,1100.0,27411420.0
2019-08-01,100000.0,27511420.0
2019-08-01,500.0,27511920.0
2019-08-01,100.0,27512020.0
2019-08-01,100.0,27512120.0
2019-08-01,10000.0,27522120.0
2019-08-01,1000000.0,28522120.0
2019-08-01,10000.0,28532120.0
2019-08-01,10000.0,28542120.0
2019-08-01,1000.0,28543120.0
2019-08-01,10000.0,28553120.0
2019-08-01,1000.0,28554120.0
2019-08-01,10000.0,28564120.0
2019-08-01,300.0,28564420.0
2019-08-01,200.0,28564620.0
2019-08-01,10000.0,28574620.0
2019-08-01,10000.0,28584620.0
2019-08-01,1000.0,28585620.0
2019-08-01,1000.0,28586620.0
2019-08-01,500.0,28587120.0
2019-08-01,100000.0,28687120.0
2019-08-01,10000.0,28697120.0
2019-08-01,500.0,28697620.0
2019-08-01,500.0,28698120.0
2019-08-01,10000.0,28708120.0
2019-08-01,,
2019-08-01,1000.0,28709120.0
2019-08-01,300.0,28709420.0
2019-08-01,10000.0,28719420.0
2019-08-01,10000.0,28729420.0
2019-08-07,1000000.0,29729420.0
2019-09-01,2000.0,29731420.0
2019-09-01,300.0,29731720.0
2019-09-01,500.0,29732220.0
2019-09-01,200.0,29732420.0
2019-09-01,1000.0,29733420.0
2019-09-01,1000000.0,30733420.0
2019-09-01,10000.0,30743420.0
2019-09-01,300.0,30743720.0
2019-09-01,1000.0,30744720.0
2019-09-01,10000.0,30754720.0
2019-09-01,2000.0,30756720.0
2019-09-01,300.0,30757020.0
2019-09-01,1000.0,30758020.0
2019-09-01,500.0,30758520.0
2019-09-01,400.0,30758920.0
2019-09-01,10000.0,30768920.0
2019-09-01,1000.0,30769920.0
2019-09-01,300.0,30770220.0
2019-09-01,400.0,30770620.0
2019-09-01,10000.0,30780620.0
2019-09-01,500.0,30781120.0
2019-09-01,300.0,30781420.0
2019-09-01,400.0,30781820.0
2019-09-01,10000.0,30791820.0
2019-09-01,1000.0,30792820.0
2019-09-01,1000.0,30793820.0
2019-09-01,10000.0,30803820.0
2019-09-01,300.0,30804120.0
2019-09-01,300.0,30804420.0
2019-09-01,100.0,30804520.0
2019-09-01,200.0,30804720.0
2019-09-01,10000.0,30814720.0
2019-09-01,2000.0,30816720.0
2019-09-01,10000000.0,40816720.0
2019-09-01,300.0,40817020.0
2019-09-01,1000.0,40818020.0
2019-09-01,10000.0,40828020.0
2019-09-01,1000.0,40829020.0
2019-09-01,10000.0,40839020.0
2019-09-01,300.0,40839320.0
2019-09-01,500.0,40839820.0
2019-09-01,10000.0,40849820.0
2019-09-01,300.0,40850120.0
2019-09-01,500.0,40850620.0
2019-09-01,300.0,40850920.0
2019-09-01,400.0,40851320.0
2019-09-01,300.0,40851620.0
2019-09-01,300.0,40851920.0
2019-09-01,200.0,40852120.0
2019-09-01,10000.0,40862120.0
2019-09-01,1000.0,40863120.0
2019-09-29,100000.0,40963120.0
2019-10-01,300.0,40963420.0
2019-10-01,100000.0,41063420.0
2019-10-01,10000.0,41073420.0
2019-10-01,50.0,41073470.0
2019-10-01,3000.0,41076470.0
2019-10-01,100000.0,41176470.0
2019-10-01,1000.0,41177470.0
2019-10-01,1000.0,41178470.0
2019-10-01,10000.0,41188470.0
2019-10-01,1000.0,41189470.0
2019-10-01,,
2019-10-01,,
2019-10-01,300.0,41189770.0
2019-10-01,500.0,41190270.0
2019-10-01,10000.0,41200270.0
2019-10-01,,
2019-10-01,500.0,41200770.0
2019-10-01,200.0,41200970.0
2019-10-01,,
2019-10-01,300.0,41201270.0
2019-10-01,500.0,41201770.0
2019-10-01,9000000.0,50201770.0
2019-10-01,10000.0,50211770.0
2019-10-01,1000.0,50212770.0
2019-10-01,500.0,50213270.0
2019-10-01,10000.0,50223270.0
2019-10-01,1000.0,50224270.0
2019-10-01,1000.0,50225270.0
2019-10-01,1100.0,50226370.0
2019-10-01,100.0,50226470.0
2019-10-01,1000.0,50227470.0
2019-10-01,100.0,50227570.0
2019-11-01,2000.0,50229570.0
2019-11-01,3000.0,50232570.0
2019-11-01,2000.0,50234570.0
2019-11-01,10000.0,50244570.0
2019-11-01,500.0,50245070.0
2019-11-01,500.0,50245570.0
2019-11-01,2000.0,50247570.0
2019-11-01,1000.0,50248570.0
2019-11-01,200.0,50248770.0
2019-11-01,1000.0,50249770.0
2019-11-01,10000.0,50259770.0
2019-11-29,200.0,50259970.0
